Frequency,REF_AREA,Reference area,VALUE,Value,Unit of measure,Series,Quarterly_per_year,Property_price_rate
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2021-Q1,11.5625
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2021-Q1,9.484
Quarterly,XM,Euro area,N,Nominal,"Year-on-year changes, in per cent",Q:XM:N:771,2021-Q1,6.2496
Quarterly,XM,Euro area,R,Real,"Year-on-year changes, in per cent",Q:XM:R:771,2021-Q1,5.1348
Quarterly,XW,World,N,Nominal,"Year-on-year changes, in per cent",Q:XW:N:771,2021-Q1,6.5623
Quarterly,XW,World,R,Real,"Year-on-year changes, in per cent",Q:XW:R:771,2021-Q1,4.5763
Quarterly,ZA,South Africa,N,Nominal,"Year-on-year changes, in per cent",Q:ZA:N:771,2021-Q1,4.6519
Quarterly,ZA,South Africa,R,Real,"Year-on-year changes, in per cent",Q:ZA:R:771,2021-Q1,1.5448
Quarterly,4T,Emerging market economies (aggregate),N,Nominal,"Year-on-year changes, in per cent",Q:4T:N:771,2021-Q2,5.5903
Quarterly,4T,Emerging market economies (aggregate),R,Real,"Year-on-year changes, in per cent",Q:4T:R:771,2021-Q2,1.8513
Quarterly,5R,Advanced economies,N,Nominal,"Year-on-year changes, in per cent",Q:5R:N:771,2021-Q2,11.4427
Quarterly,5R,Advanced economies,R,Real,"Year-on-year changes, in per cent",Q:5R:R:771,2021-Q2,8.2675
Quarterly,AE,United Arab Emirates,N,Nominal,"Year-on-year changes, in per cent",Q:AE:N:771,2021-Q2,2.136
Quarterly,AE,United Arab Emirates,R,Real,"Year-on-year changes, in per cent",Q:AE:R:771,2021-Q2,2.6272
Quarterly,AT,Austria,N,Nominal,"Year-on-year changes, in per cent",Q:AT:N:771,2021-Q2,11.754
Quarterly,AT,Austria,R,Real,"Year-on-year changes, in per cent",Q:AT:R:771,2021-Q2,9.0194
Quarterly,AU,Australia,N,Nominal,"Year-on-year changes, in per cent",Q:AU:N:771,2021-Q2,16.7598
Quarterly,AU,Australia,R,Real,"Year-on-year changes, in per cent",Q:AU:R:771,2021-Q2,12.4353
Quarterly,BE,Belgium,N,Nominal,"Year-on-year changes, in per cent",Q:BE:N:771,2021-Q2,7.4077
Quarterly,BE,Belgium,R,Real,"Year-on-year changes, in per cent",Q:BE:R:771,2021-Q2,5.8831
Quarterly,BG,Bulgaria,N,Nominal,"Year-on-year changes, in per cent",Q:BG:N:771,2021-Q2,9.0699
Quarterly,BG,Bulgaria,R,Real,"Year-on-year changes, in per cent",Q:BG:R:771,2021-Q2,6.5486
Quarterly,BR,Brazil,N,Nominal,"Year-on-year changes, in per cent",Q:BR:N:771,2021-Q2,8.9337
Quarterly,BR,Brazil,R,Real,"Year-on-year changes, in per cent",Q:BR:R:771,2021-Q2,1.1267
Quarterly,CA,Canada,N,Nominal,"Year-on-year changes, in per cent",Q:CA:N:771,2021-Q2,13.4668
Quarterly,CA,Canada,R,Real,"Year-on-year changes, in per cent",Q:CA:R:771,2021-Q2,9.7893
Quarterly,CH,Switzerland,N,Nominal,"Year-on-year changes, in per cent",Q:CH:N:771,2021-Q2,6.5312
Quarterly,CH,Switzerland,R,Real,"Year-on-year changes, in per cent",Q:CH:R:771,2021-Q2,6.007
Quarterly,CL,Chile,N,Nominal,"Year-on-year changes, in per cent",Q:CL:N:771,2021-Q2,10.0303
Quarterly,CL,Chile,R,Real,"Year-on-year changes, in per cent",Q:CL:R:771,2021-Q2,6.215
Quarterly,CN,China,N,Nominal,"Year-on-year changes, in per cent",Q:CN:N:771,2021-Q2,3.669
Quarterly,CN,China,R,Real,"Year-on-year changes, in per cent",Q:CN:R:771,2021-Q2,2.4508
Quarterly,CO,Colombia,N,Nominal,"Year-on-year changes, in per cent",Q:CO:N:771,2021-Q2,8.2166
Quarterly,CO,Colombia,R,Real,"Year-on-year changes, in per cent",Q:CO:R:771,2021-Q2,5.1069
Quarterly,CY,Cyprus,N,Nominal,"Year-on-year changes, in per cent",Q:CY:N:771,2021-Q2,0.2394
Quarterly,CY,Cyprus,R,Real,"Year-on-year changes, in per cent",Q:CY:R:771,2021-Q2,-2.0905
Quarterly,CZ,Czechia,N,Nominal,"Year-on-year changes, in per cent",Q:CZ:N:771,2021-Q2,17.2277
Quarterly,CZ,Czechia,R,Real,"Year-on-year changes, in per cent",Q:CZ:R:771,2021-Q2,13.9241
Quarterly,DE,Germany,N,Nominal,"Year-on-year changes, in per cent",Q:DE:N:771,2021-Q2,11.4662
Quarterly,DE,Germany,R,Real,"Year-on-year changes, in per cent",Q:DE:R:771,2021-Q2,8.9701
Quarterly,DK,Denmark,N,Nominal,"Year-on-year changes, in per cent",Q:DK:N:771,2021-Q2,15.3654
Quarterly,DK,Denmark,R,Real,"Year-on-year changes, in per cent",Q:DK:R:771,2021-Q2,13.4953
Quarterly,EE,Estonia,N,Nominal,"Year-on-year changes, in per cent",Q:EE:N:771,2021-Q2,16.0598
Quarterly,EE,Estonia,R,Real,"Year-on-year changes, in per cent",Q:EE:R:771,2021-Q2,12.5745
Quarterly,ES,Spain,N,Nominal,"Year-on-year changes, in per cent",Q:ES:N:771,2021-Q2,3.284
Quarterly,ES,Spain,R,Real,"Year-on-year changes, in per cent",Q:ES:R:771,2021-Q2,0.7061
Quarterly,FI,Finland,N,Nominal,"Year-on-year changes, in per cent",Q:FI:N:771,2021-Q2,5.5028
Quarterly,FI,Finland,R,Real,"Year-on-year changes, in per cent",Q:FI:R:771,2021-Q2,3.3
Quarterly,FR,France,N,Nominal,"Year-on-year changes, in per cent",Q:FR:N:771,2021-Q2,6.0606
Quarterly,FR,France,R,Real,"Year-on-year changes, in per cent",Q:FR:R:771,2021-Q2,4.6149
Quarterly,GB,United Kingdom,N,Nominal,"Year-on-year changes, in per cent",Q:GB:N:771,2021-Q2,10.0985
Quarterly,GB,United Kingdom,R,Real,"Year-on-year changes, in per cent",Q:GB:R:771,2021-Q2,7.9111
Quarterly,GR,Greece,N,Nominal,"Year-on-year changes, in per cent",Q:GR:N:771,2021-Q2,6.8715
Quarterly,GR,Greece,R,Real,"Year-on-year changes, in per cent",Q:GR:R:771,2021-Q2,6.5607
Quarterly,HK,Hong Kong SAR,N,Nominal,"Year-on-year changes, in per cent",Q:HK:N:771,2021-Q2,2.4863
Quarterly,HK,Hong Kong SAR,R,Real,"Year-on-year changes, in per cent",Q:HK:R:771,2021-Q2,1.6791
Quarterly,HR,Croatia,N,Nominal,"Year-on-year changes, in per cent",Q:HR:N:771,2021-Q2,6.4318
Quarterly,HR,Croatia,R,Real,"Year-on-year changes, in per cent",Q:HR:R:771,2021-Q2,4.2597
Quarterly,HU,Hungary,N,Nominal,"Year-on-year changes, in per cent",Q:HU:N:771,2021-Q2,16.8667
Quarterly,HU,Hungary,R,Real,"Year-on-year changes, in per cent",Q:HU:R:771,2021-Q2,11.1137
Quarterly,ID,Indonesia,N,Nominal,"Year-on-year changes, in per cent",Q:ID:N:771,2021-Q2,0.9557
Quarterly,ID,Indonesia,R,Real,"Year-on-year changes, in per cent",Q:ID:R:771,2021-Q2,-0.5141
Quarterly,IE,Ireland,N,Nominal,"Year-on-year changes, in per cent",Q:IE:N:771,2021-Q2,5.6176
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2021-Q2,4.1214
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2021-Q2,7.6838
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2021-Q2,6.2658
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2021-Q2,1.972
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2021-Q2,-3.4296
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2021-Q2,12.6244
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2021-Q2,7.8599
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2021-Q2,0.3906
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2021-Q2,-0.7984
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2021-Q2,5.469
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2021-Q2,6.2476
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2021-Q2,13.0061
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2021-Q2,10.2629
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2021-Q2,13.2763
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2021-Q2,9.7261
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2021-Q2,13.4499
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2021-Q2,10.929
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2021-Q2,12.1005
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2021-Q2,9.5549
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2021-Q2,-2.1779
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2021-Q2,-3.6862
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2021-Q2,4.0756
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2021-Q2,1.2468
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2021-Q2,5.4247
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2021-Q2,4.17
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2021-Q2,5.2785
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2021-Q2,-0.6358
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2021-Q2,1.0479
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2021-Q2,-3.0006
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2021-Q2,13.0111
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2021-Q2,10.7887
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2021-Q2,12.3872
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2021-Q2,9.2943
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2021-Q2,28.5164
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2021-Q2,24.3592
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2021-Q2,1.4367
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2021-Q2,-1.2252
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2021-Q2,-9.3586
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2021-Q2,-12.8502
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2021-Q2,8.3314
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2021-Q2,3.7347
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2021-Q2,7.8139
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2021-Q2,6.9931
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2021-Q2,3.0769
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2021-Q2,-0.5478
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2021-Q2,8.5749
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2021-Q2,5.1712
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2021-Q2,14.3553
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2021-Q2,7.8632
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2021-Q2,10.9251
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2021-Q2,8.9641
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2021-Q2,7.1429
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2021-Q2,4.7418
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2021-Q2,10.0694
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2021-Q2,8.0479
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2021-Q2,4.7811
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2021-Q2,2.5008
Quarterly,TH,Thailand,N,Nominal,"Year-on-year changes, in per cent",Q:TH:N:771,2021-Q2,0.4851
Quarterly,TH,Thailand,R,Real,"Year-on-year changes, in per cent",Q:TH:R:771,2021-Q2,-1.8297
Quarterly,TR,Turkey,N,Nominal,"Year-on-year changes, in per cent",Q:TR:N:771,2021-Q2,29.2473
Quarterly,TR,Turkey,R,Real,"Year-on-year changes, in per cent",Q:TR:R:771,2021-Q2,10.3852
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2021-Q2,15.7634
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2021-Q2,10.4097
Quarterly,XM,Euro area,N,Nominal,"Year-on-year changes, in per cent",Q:XM:N:771,2021-Q2,7.3763
Quarterly,XM,Euro area,R,Real,"Year-on-year changes, in per cent",Q:XM:R:771,2021-Q2,5.4404
Quarterly,XW,World,N,Nominal,"Year-on-year changes, in per cent",Q:XW:N:771,2021-Q2,8.1775
Quarterly,XW,World,R,Real,"Year-on-year changes, in per cent",Q:XW:R:771,2021-Q2,4.6875
Quarterly,ZA,South Africa,N,Nominal,"Year-on-year changes, in per cent",Q:ZA:N:771,2021-Q2,4.7921
Quarterly,ZA,South Africa,R,Real,"Year-on-year changes, in per cent",Q:ZA:R:771,2021-Q2,-0.0417
Quarterly,4T,Emerging market economies (aggregate),N,Nominal,"Year-on-year changes, in per cent",Q:4T:N:771,2021-Q3,6.0119
Quarterly,4T,Emerging market economies (aggregate),R,Real,"Year-on-year changes, in per cent",Q:4T:R:771,2021-Q3,2.2584
Quarterly,5R,Advanced economies,N,Nominal,"Year-on-year changes, in per cent",Q:5R:N:771,2021-Q3,13.046
Quarterly,5R,Advanced economies,R,Real,"Year-on-year changes, in per cent",Q:5R:R:771,2021-Q3,9.1406
Quarterly,AE,United Arab Emirates,N,Nominal,"Year-on-year changes, in per cent",Q:AE:N:771,2021-Q3,7.8032
Quarterly,AE,United Arab Emirates,R,Real,"Year-on-year changes, in per cent",Q:AE:R:771,2021-Q3,7.1912
Quarterly,AT,Austria,N,Nominal,"Year-on-year changes, in per cent",Q:AT:N:771,2021-Q3,10.4176
Quarterly,AT,Austria,R,Real,"Year-on-year changes, in per cent",Q:AT:R:771,2021-Q3,7.0629
Quarterly,AU,Australia,N,Nominal,"Year-on-year changes, in per cent",Q:AU:N:771,2021-Q3,21.6909
Quarterly,AU,Australia,R,Real,"Year-on-year changes, in per cent",Q:AU:R:771,2021-Q3,18.1327
Quarterly,BE,Belgium,N,Nominal,"Year-on-year changes, in per cent",Q:BE:N:771,2021-Q3,8.1926
Quarterly,BE,Belgium,R,Real,"Year-on-year changes, in per cent",Q:BE:R:771,2021-Q3,5.4304
Quarterly,BG,Bulgaria,N,Nominal,"Year-on-year changes, in per cent",Q:BG:N:771,2021-Q3,8.7097
Quarterly,BG,Bulgaria,R,Real,"Year-on-year changes, in per cent",Q:BG:R:771,2021-Q3,4.7092
Quarterly,BR,Brazil,N,Nominal,"Year-on-year changes, in per cent",Q:BR:N:771,2021-Q3,7.867
Quarterly,BR,Brazil,R,Real,"Year-on-year changes, in per cent",Q:BR:R:771,2021-Q3,-1.6189
Quarterly,CA,Canada,N,Nominal,"Year-on-year changes, in per cent",Q:CA:N:771,2021-Q3,14.3627
Quarterly,CA,Canada,R,Real,"Year-on-year changes, in per cent",Q:CA:R:771,2021-Q3,9.8983
Quarterly,CH,Switzerland,N,Nominal,"Year-on-year changes, in per cent",Q:CH:N:771,2021-Q3,7.4009
Quarterly,CH,Switzerland,R,Real,"Year-on-year changes, in per cent",Q:CH:R:771,2021-Q3,6.5123
Quarterly,CL,Chile,N,Nominal,"Year-on-year changes, in per cent",Q:CL:N:771,2021-Q3,14.7058
Quarterly,CL,Chile,R,Real,"Year-on-year changes, in per cent",Q:CL:R:771,2021-Q3,9.361
Quarterly,CN,China,N,Nominal,"Year-on-year changes, in per cent",Q:CN:N:771,2021-Q3,3.0678
Quarterly,CN,China,R,Real,"Year-on-year changes, in per cent",Q:CN:R:771,2021-Q3,2.4328
Quarterly,CO,Colombia,N,Nominal,"Year-on-year changes, in per cent",Q:CO:N:771,2021-Q3,7.0173
Quarterly,CO,Colombia,R,Real,"Year-on-year changes, in per cent",Q:CO:R:771,2021-Q3,2.5963
Quarterly,CY,Cyprus,N,Nominal,"Year-on-year changes, in per cent",Q:CY:N:771,2021-Q3,1.1764
Quarterly,CY,Cyprus,R,Real,"Year-on-year changes, in per cent",Q:CY:R:771,2021-Q3,-3.0743
Quarterly,CZ,Czechia,N,Nominal,"Year-on-year changes, in per cent",Q:CZ:N:771,2021-Q3,22.1364
Quarterly,CZ,Czechia,R,Real,"Year-on-year changes, in per cent",Q:CZ:R:771,2021-Q3,17.2997
Quarterly,DE,Germany,N,Nominal,"Year-on-year changes, in per cent",Q:DE:N:771,2021-Q3,12.7737
Quarterly,DE,Germany,R,Real,"Year-on-year changes, in per cent",Q:DE:R:771,2021-Q3,8.54
Quarterly,DK,Denmark,N,Nominal,"Year-on-year changes, in per cent",Q:DK:N:771,2021-Q3,11.252
Quarterly,DK,Denmark,R,Real,"Year-on-year changes, in per cent",Q:DK:R:771,2021-Q3,9.1814
Quarterly,EE,Estonia,N,Nominal,"Year-on-year changes, in per cent",Q:EE:N:771,2021-Q3,17.3087
Quarterly,EE,Estonia,R,Real,"Year-on-year changes, in per cent",Q:EE:R:771,2021-Q3,11.1421
Quarterly,ES,Spain,N,Nominal,"Year-on-year changes, in per cent",Q:ES:N:771,2021-Q3,4.1693
Quarterly,ES,Spain,R,Real,"Year-on-year changes, in per cent",Q:ES:R:771,2021-Q3,0.7467
Quarterly,FI,Finland,N,Nominal,"Year-on-year changes, in per cent",Q:FI:N:771,2021-Q3,4.8204
Quarterly,FI,Finland,R,Real,"Year-on-year changes, in per cent",Q:FI:R:771,2021-Q3,2.546
Quarterly,FR,France,N,Nominal,"Year-on-year changes, in per cent",Q:FR:N:771,2021-Q3,7.1307
Quarterly,FR,France,R,Real,"Year-on-year changes, in per cent",Q:FR:R:771,2021-Q3,5.3143
Quarterly,GB,United Kingdom,N,Nominal,"Year-on-year changes, in per cent",Q:GB:N:771,2021-Q3,9.0909
Quarterly,GB,United Kingdom,R,Real,"Year-on-year changes, in per cent",Q:GB:R:771,2021-Q3,6.1671
Quarterly,GR,Greece,N,Nominal,"Year-on-year changes, in per cent",Q:GR:N:771,2021-Q3,8.7983
Quarterly,GR,Greece,R,Real,"Year-on-year changes, in per cent",Q:GR:R:771,2021-Q3,6.86
Quarterly,HK,Hong Kong SAR,N,Nominal,"Year-on-year changes, in per cent",Q:HK:N:771,2021-Q3,3.7462
Quarterly,HK,Hong Kong SAR,R,Real,"Year-on-year changes, in per cent",Q:HK:R:771,2021-Q3,1.4453
Quarterly,HR,Croatia,N,Nominal,"Year-on-year changes, in per cent",Q:HR:N:771,2021-Q3,8.9369
Quarterly,HR,Croatia,R,Real,"Year-on-year changes, in per cent",Q:HR:R:771,2021-Q3,5.7288
Quarterly,HU,Hungary,N,Nominal,"Year-on-year changes, in per cent",Q:HU:N:771,2021-Q3,16.685
Quarterly,HU,Hungary,R,Real,"Year-on-year changes, in per cent",Q:HU:R:771,2021-Q3,11.1282
Quarterly,ID,Indonesia,N,Nominal,"Year-on-year changes, in per cent",Q:ID:N:771,2021-Q3,1.022
Quarterly,ID,Indonesia,R,Real,"Year-on-year changes, in per cent",Q:ID:R:771,2021-Q3,-0.5393
Quarterly,IE,Ireland,N,Nominal,"Year-on-year changes, in per cent",Q:IE:N:771,2021-Q3,10.6469
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2021-Q3,7.5107
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2021-Q3,9.6041
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2021-Q3,7.242
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2021-Q3,2.3811
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2021-Q3,-2.5641
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2021-Q3,14.6512
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2021-Q3,9.9292
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2021-Q3,4.1082
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2021-Q3,1.8917
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2021-Q3,8.1447
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2021-Q3,8.3252
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2021-Q3,15.1163
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2021-Q3,12.2699
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2021-Q3,18.8782
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2021-Q3,12.7721
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2021-Q3,13.2026
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2021-Q3,10.4646
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2021-Q3,12.3955
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2021-Q3,8.2888
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2021-Q3,-6.2117
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2021-Q3,-7.4738
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2021-Q3,5.8183
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2021-Q3,2.1561
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2021-Q3,5.9607
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2021-Q3,3.839
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2021-Q3,8.6641
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2021-Q3,2.7076
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2021-Q3,1.0505
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2021-Q3,-1.065
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2021-Q3,16.7577
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2021-Q3,14.2834
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2021-Q3,10.4369
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2021-Q3,6.7147
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2021-Q3,28.6702
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2021-Q3,22.6206
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2021-Q3,-0.6733
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2021-Q3,-5.1009
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2021-Q3,6.3262
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2021-Q3,2.1381
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2021-Q3,8.9158
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2021-Q3,3.3337
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2021-Q3,11.5161
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2021-Q3,9.8751
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2021-Q3,6.3492
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2021-Q3,0.8103
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2021-Q3,6.9103
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2021-Q3,2.3903
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2021-Q3,14.5636
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2021-Q3,7.2246
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2021-Q3,11.3378
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2021-Q3,9.1746
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2021-Q3,7.4772
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2021-Q3,4.8702
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2021-Q3,12.9008
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2021-Q3,10.5047
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2021-Q3,8.0239
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2021-Q3,3.9678
